City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
16,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
18,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
22,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
24,Jequitinhonha,BR,77.22,overcast clouds,-16.4339,-41.0033,Hotel Bela Vista
27,Hermanus,ZA,76.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Dingle,PH,75.34,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
36,Hithadhoo,MV,82.24,broken clouds,-0.6,73.0833,Scoop Guest House
38,Domoni,KM,80.06,scattered clouds,-12.2569,44.5319,Al Djadid
48,Castro,BR,79.12,clear sky,-24.7911,-50.0119,CHACARA BAILLY
50,Kanniyakumari,IN,77.7,broken clouds,8.0833,77.5667,Sparsa
52,Tsabong,BW,80.35,clear sky,-26.0217,22.401,Springbok Motel
54,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
56,Quatre Cocos,MU,80.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
59,Kavieng,PG,81.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
60,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Espirito Santo Do Pinhal,BR,83.64,scattered clouds,-22.1158,-46.6828,MEGA Aluguel Apartamentos
62,Chavakkad,IN,78.17,overcast clouds,10.5333,76.05,Rajah Island
67,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
72,Atuona,PF,77.74,clear sky,-9.8,-139.0333,Villa Enata
74,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Tucuman,AR,89.6,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
81,Acarau,BR,85.15,overcast clouds,-2.8856,-40.12,castelo pizzaria
88,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Mahina,PF,82.17,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
100,Itarema,BR,84.94,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
104,Pontian Kecil,MY,77.38,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
106,Mar Del Plata,AR,87.82,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
112,Cockburn Town,TC,79.16,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
113,Faanui,PF,79.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
123,Bengkulu,ID,75.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
125,Jalingo,NG,77.86,broken clouds,8.8833,11.3667,Debright Motel
129,Paraiso,CR,78.96,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
131,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
135,Iracoubo,GF,82.36,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
139,Kita,ML,83.3,few clouds,13.0349,-9.4895,Hôtel Chat Rouge
141,Kieta,PG,79.2,light rain,-6.2167,155.6333,Uruna Bay Retreat
142,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
148,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
149,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
152,Kalianget,ID,82.45,moderate rain,-7.05,113.9333,Pesanggrahan Garam
153,Kavaratti,IN,81.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
156,Diamantino,BR,84.94,overcast clouds,-14.4086,-56.4461,Hotel Delta
157,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
159,Bahia Honda,CU,83.91,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
165,Kollam,IN,82.27,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
167,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
