City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.7,82,100,18.07,overcast clouds
1,Nabire,ID,-3.3667,135.4833,74.98,91,100,4.07,overcast clouds
2,Mildura,AU,-34.2,142.15,51.76,62,4,3.44,clear sky
3,Ouahigouya,BF,13.5828,-2.4216,74.95,14,46,10.42,scattered clouds
4,Aklavik,CA,68.2191,-135.0107,-11.2,84,20,5.75,few clouds
5,Port Alfred,ZA,-33.5906,26.891,69.85,84,34,21.59,scattered clouds
6,Dikson,RU,73.5069,80.5464,-28.08,98,95,2.08,overcast clouds
7,Ribeira Grande,PT,38.5167,-28.7,59.4,72,40,3.44,scattered clouds
8,Rock Island,US,41.45,-90.5168,34.68,73,20,9.22,few clouds
9,Lebu,CL,-37.6167,-73.65,62.69,77,13,16.13,few clouds
10,Leh,IN,34.1667,77.5833,0.48,37,0,3.89,clear sky
11,Algiers,DZ,36.7525,3.042,51.62,87,0,2.3,clear sky
12,Laizhou,CN,37.1717,119.9214,37.13,49,100,6.11,overcast clouds
13,Sorland,NO,67.667,12.6934,40.86,57,99,28.95,overcast clouds
14,Amapa,BR,1.0,-52.0,86.67,56,88,3.56,overcast clouds
15,Coihaique,CL,-45.5752,-72.0662,74.01,35,0,5.75,clear sky
16,Vila Velha,BR,-20.3297,-40.2925,75.15,92,90,8.99,overcast clouds
17,Bayji,IQ,34.9311,43.487,57.34,46,5,7.11,clear sky
18,Butaritari,KI,3.0707,172.7902,81.97,75,100,18.21,overcast clouds
19,East London,ZA,-33.0153,27.9116,70.74,83,20,14.97,few clouds
20,San Quintin,MX,30.4833,-115.95,62.74,37,0,3.49,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,53.71,43,40,39.12,scattered clouds
22,Georgetown,MY,5.4112,100.3354,78.73,87,20,5.01,few clouds
23,Qaqortoq,GL,60.7167,-46.0333,39.11,51,100,23.58,overcast clouds
24,Jequitinhonha,BR,-16.4339,-41.0033,77.22,94,100,1.57,overcast clouds
25,Goderich,CA,43.7501,-81.7165,28.9,68,99,6.91,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,68.29,83,28,11.5,scattered clouds
27,Hermanus,ZA,-34.4187,19.2345,76.89,72,100,11.3,overcast clouds
28,Qaanaaq,GL,77.484,-69.3632,15.17,65,49,7.94,scattered clouds
29,Luderitz,NA,-26.6481,15.1594,60.55,92,4,2.3,clear sky
30,Catamarca,AR,-28.4696,-65.7852,95.05,37,49,7.0,light rain
31,Tsuruoka,JP,38.7217,139.8217,38.64,69,100,18.59,light rain
32,Tasiilaq,GL,65.6145,-37.6368,30.36,82,98,9.42,overcast clouds
