City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-12-18 00:13:47,42.097,-79.2353,36.72,83,1,1.99
1,Gore,NZ,2021-12-18 00:13:47,-46.1028,168.9436,56.23,45,61,12.37
2,Vaini,TO,2021-12-18 00:13:48,-21.2,-175.2,86.16,74,20,11.5
3,Fairbanks,US,2021-12-18 00:12:31,64.8378,-147.7164,10.36,83,90,0.0
4,Port Elizabeth,ZA,2021-12-18 00:13:48,-33.918,25.5701,61.11,74,14,19.04
5,Varhaug,NO,2021-12-18 00:13:48,58.6147,5.6457,47.75,96,100,15.26
6,Broome,US,2021-12-18 00:09:49,42.2506,-75.833,42.66,59,1,1.01
7,Thompson,CA,2021-12-18 00:13:49,55.7435,-97.8558,-9.69,96,100,3.94
8,Rikitea,PF,2021-12-18 00:13:49,-23.1203,-134.9692,75.9,76,99,15.77
9,Mar Del Plata,AR,2021-12-18 00:09:11,-38.0023,-57.5575,73.09,87,73,7.0
10,Dikson,RU,2021-12-18 00:10:10,73.5069,80.5464,-21.01,99,100,8.57
11,Kidal,ML,2021-12-18 00:13:50,18.4411,1.4078,67.91,19,13,12.8
12,Cape Town,ZA,2021-12-18 00:12:30,-33.9258,18.4232,65.88,66,0,1.99
13,Ushuaia,AR,2021-12-18 00:13:50,-54.8,-68.3,54.0,79,89,1.79
14,Severo-Kurilsk,RU,2021-12-18 00:08:58,50.6789,156.125,28.83,90,100,33.29
15,Sioux Lookout,CA,2021-12-18 00:13:51,50.1001,-91.917,-0.38,98,100,1.14
16,Yulara,AU,2021-12-18 00:13:51,-25.2406,130.9889,102.04,16,53,6.91
17,Rhyl,GB,2021-12-18 00:13:51,53.3196,-3.4886,45.0,96,14,11.18
18,Punta Cardon,VE,2021-12-18 00:13:52,11.6581,-70.215,78.66,76,35,23.78
19,Bilibino,RU,2021-12-18 00:13:52,68.0546,166.4372,-32.67,100,99,1.39
20,Mwinilunga,ZM,2021-12-18 00:13:53,-11.7358,24.4293,58.71,94,88,2.01
21,Lebu,CL,2021-12-18 00:13:53,-37.6167,-73.65,57.06,85,0,7.29
22,San Quintin,MX,2021-12-18 00:13:54,30.4833,-115.95,60.85,60,99,5.86
23,Chuy,UY,2021-12-18 00:13:54,-33.6971,-53.4616,62.96,77,4,9.01
24,Lipari,IT,2021-12-18 00:13:54,38.4674,14.954,58.78,63,30,16.84
25,Nishihara,JP,2021-12-18 00:13:55,26.1842,127.7558,60.85,51,75,12.66
26,Kavaratti,IN,2021-12-18 00:13:55,10.5669,72.642,82.11,71,32,11.48
27,Mahebourg,MU,2021-12-18 00:13:56,-20.4081,57.7,75.25,76,11,5.5
28,Acarau,BR,2021-12-18 00:13:56,-2.8856,-40.12,80.73,81,6,18.1
29,Arraial Do Cabo,BR,2021-12-18 00:13:57,-22.9661,-42.0278,75.51,92,56,5.79
30,Kapaa,US,2021-12-18 00:13:57,22.0752,-159.319,80.58,77,75,1.99
31,Avarua,CK,2021-12-18 00:13:57,-21.2078,-159.775,84.25,70,38,10.36
32,Portland,US,2021-12-18 00:13:32,45.5234,-122.6762,46.45,88,75,1.01
33,Chiang Khong,TH,2021-12-18 00:09:16,20.2613,100.4046,56.93,92,16,2.04
34,Hobart,AU,2021-12-18 00:13:58,-42.8794,147.3294,93.02,33,0,1.99
35,Pisco,PE,2021-12-18 00:13:59,-13.7,-76.2167,69.03,83,0,16.11
